#DIY Altimeter Experimental Data
#logged on SD card module through BMP 280 sensor

time_ms,pressure_hPa,altitude_m
4221,993.12,168.96
4240,993.11,169.06
4258,993.05,169.52
4281,993.04,169.63
4298,993.0,169.96
4318,992.98,170.12
4341,992.91,170.71
4360,992.88,171.0
4382,992.87,171.08
4400,992.83,171.37
4420,992.84,171.34
4437,992.79,171.75
4459,992.75,172.05
4478,992.67,172.77
4498,992.72,172.33
4522,992.63,173.07
4539,992.62,173.16
4562,992.61,173.29
4580,992.55,173.76
4601,992.56,173.74
4620,992.53,173.92
4640,992.52,174.04
4659,992.47,174.47
4678,992.45,174.63
4701,992.46,174.55
4718,992.46,174.58
4737,992.41,174.94
4760,992.4,175.05
4778,992.37,175.34
4802,992.31,175.79
4822,992.33,175.66
4842,992.3,175.9
4859,992.28,176.06
4877,992.25,176.35
4902,992.29,176.01
4919,992.24,176.44
4942,992.2,176.77
4962,992.16,177.11
4982,992.18,176.96
4998,992.19,176.84
5019,992.12,177.44
5042,992.12,177.39
5058,992.12,177.41
5078,992.09,177.66
5100,992.06,177.9
5122,992.05,177.98
5141,992.07,177.83
5160,991.99,178.52
5177,991.97,178.71
5200,991.96,178.75
5222,991.98,178.58
5237,991.95,178.84
5260,991.93,179.02
5282,991.9,179.27
5301,991.89,179.41
5321,991.9,179.27
5341,991.87,179.54
5359,991.85,179.72
5378,991.81,180.01
5401,991.81,180.01
5421,991.8,180.14
5442,991.8,180.12
5462,991.76,180.47
5480,991.77,180.39
5500,991.78,180.27
5521,991.72,180.77
5540,991.73,180.73
5561,991.74,180.62
5581,991.73,180.7
5602,991.71,180.93
5619,991.7,181.01
5639,991.69,181.03
5657,991.68,181.12
5680,991.65,181.44
5697,991.65,181.39
5719,991.66,181.28
5740,991.64,181.46
5758,991.68,181.15
5780,991.64,181.46
5797,991.61,181.75
5817,991.65,181.42
5841,991.66,181.35
5859,991.65,181.42
5877,991.65,181.37
5900,991.64,181.46
5921,991.63,181.56
5938,991.65,181.4
5960,991.62,181.68
5977,991.6,181.86
5997,991.63,181.56
6020,991.58,182.01
6040,991.6,181.84
6060,991.59,181.94
6081,991.62,181.65
6102,991.59,181.94
6120,991.63,181.59
6138,991.59,181.94
6161,991.6,181.82
6178,991.59,181.89
6199,991.63,181.58
6217,991.62,181.62
6237,991.59,181.88
6262,991.63,181.58
6282,991.6,181.83
6301,991.64,181.49
6319,991.6,181.87
6338,991.64,181.47
6357,991.61,181.77
6378,991.61,181.76
6400,991.64,181.5
6421,991.62,181.7
6440,991.63,181.61
6458,991.65,181.44
6482,991.66,181.31
6501,991.69,181.11
6520,991.64,181.48
6540,991.69,181.09
6559,991.66,181.35
6578,991.67,181.24
6599,991.65,181.37
6621,991.68,181.13
6637,991.69,181.08
6657,991.67,181.22
6677,991.69,181.09
6697,991.69,181.03
6722,991.7,180.98
6741,991.75,180.56
6759,991.71,180.91
6777,991.72,180.82
6799,991.76,180.45
6819,991.76,180.52
6838,991.76,180.48
6859,991.77,180.38
6879,991.77,180.39
6900,991.76,180.5
6920,991.77,180.35
6937,991.83,179.85
6959,991.8,180.1
6980,991.8,180.13
7000,991.83,179.87
7022,991.83,179.9
7040,991.82,179.98
7057,991.85,179.73
7077,991.87,179.5
7100,991.87,179.54
7117,991.9,179.31
7140,991.91,179.18
7162,991.93,179.02
7180,991.9,179.28
7199,991.96,178.77
7220,991.92,179.1
7239,991.95,178.83
7260,992.01,178.39
7282,991.98,178.61
7299,992.04,178.09
7322,992.0,178.48
7342,992.0,178.44
7358,992.04,178.1
7377,992.03,178.15
7397,992.01,178.39
7417,992.07,177.86
7437,992.09,177.67
7461,992.05,178.02
7477,992.05,178.03
7498,992.1,177.59
7522,992.09,177.66
7537,992.09,177.66
7561,992.15,177.17
7578,992.15,177.14
7597,992.13,177.37
7621,992.13,177.35
7640,992.16,177.06
7662,992.21,176.7
7681,992.15,177.13
7701,992.22,176.59
7718,992.22,176.55
7738,992.22,176.58
7761,992.21,176.7
7781,992.23,176.48
7802,992.25,176.31
7819,992.26,176.24
7839,992.28,176.08
7861,992.28,176.07
7879,992.35,175.44
7902,992.32,175.74
7922,992.32,175.75
7939,992.36,175.42
7961,992.34,175.6
7981,992.36,175.4
7997,992.33,175.68
8022,992.34,175.54
8040,992.39,175.1
8061,992.4,175.06
8078,992.41,174.99
8102,992.43,174.82
8119,992.42,174.86
8137,992.45,174.61
8162,992.47,174.43
8177,992.44,174.68
8198,992.46,174.59
8222,992.5,174.22
8242,992.47,174.44
8260,992.51,174.09
8280,992.51,174.16
8299,992.5,174.17
8318,992.53,173.93
8338,992.53,173.93
8361,992.56,173.66
8381,992.57,173.63
8401,992.58,173.53
8421,992.6,173.35
8437,992.6,173.38
8459,992.64,173.03
8477,992.63,173.15
8500,992.63,173.08
8519,992.64,173.0
8542,992.65,172.9
8559,992.66,172.86
8577,992.66,172.88
8597,992.66,172.86
8621,992.7,172.48
8640,992.73,172.29
8657,992.73,172.25
8677,992.73,172.26
8701,992.74,172.18
8717,992.76,172.03
8741,992.78,171.83
8761,992.77,171.89
8777,992.77,171.93
8797,992.77,171.92
8822,992.81,171.6
8839,992.81,171.55
8859,992.83,171.37
8881,992.83,171.43
8902,992.86,171.19
8922,992.84,171.36
8941,992.9,170.85
8959,992.88,171.03
8977,992.87,171.07
9001,992.89,170.94
9020,992.84,171.31
9039,992.9,170.8
9062,992.94,170.45
9077,992.93,170.55
9099,992.98,170.15
9117,992.95,170.38
9139,992.98,170.14
9157,992.95,170.38
9177,992.99,170.02
9197,993.0,170.01
9220,993.02,169.82
9241,992.98,170.15
9260,993.03,169.7
9282,993.0,169.98
9299,993.03,169.73
9318,993.05,169.58
9342,993.06,169.46
9358,993.07,169.39
9382,993.13,168.86
9397,993.1,169.1
9422,993.09,169.18
9437,993.12,168.96
9462,993.16,168.6
9480,993.14,168.77
9502,993.12,168.98
9517,993.13,168.84
9540,993.17,168.5
9562,993.16,168.58
9580,993.2,168.27
9600,993.24,167.93
9621,993.24,167.98
9639,993.19,168.35
9660,993.24,167.93
9680,993.25,167.84
9702,993.26,167.74
9717,993.23,168.07
9738,993.24,167.92
9762,993.24,167.92
9782,993.3,167.41
9799,993.3,167.41
9820,993.35,166.99
9838,993.3,167.45
9858,993.36,166.89
9879,993.35,167.04
9899,993.38,166.72
9920,993.39,166.71
9937,993.4,166.59
9962,993.41,166.52
9982,993.42,166.45
10001,993.43,166.36
10020,993.41,166.53
10038,993.46,166.09
10061,993.44,166.23
10081,993.43,166.33
10097,993.48,165.94
10122,993.49,165.79
10141,993.49,165.79
10162,993.47,165.96
10181,993.51,165.7
10200,993.53,165.48
10219,993.52,165.58
10242,993.57,165.19
10262,993.54,165.42
10277,993.55,165.31
10297,993.58,165.09
10319,993.6,164.9
10341,993.61,164.79
10362,993.59,164.95
10377,993.59,165.01
10400,993.64,164.57
10419,993.63,164.68
10442,993.69,164.12
10462,993.67,164.31
10482,993.67,164.32
10499,993.7,164.08
10519,993.71,163.99
10538,993.71,163.95
10557,993.7,164.04
10582,993.72,163.84
10601,993.78,163.39
10622,993.79,163.31
10642,993.77,163.5
10660,993.75,163.61
10681,993.83,162.94
10702,993.79,163.25
10722,993.81,163.16
10738,993.77,163.43
10759,993.82,163.02
10777,993.82,163.08
10802,993.83,162.92
10820,993.89,162.43
10838,993.84,162.88
10861,993.86,162.68
10880,993.87,162.64
10899,993.8,163.18
10917,993.94,162.01
10941,993.87,162.59
10960,993.93,162.15
10981,993.92,162.15
11000,993.94,162.01
11022,993.96,161.85
11040,993.97,161.74
11060,993.96,161.81
11082,994.02,161.38
11099,993.98,161.71
11117,994.01,161.42
11137,994.04,161.21
11161,994.03,161.22
11180,994.01,161.44
11201,994.06,161.03
11218,994.05,161.11
11237,994.08,160.83
11257,994.06,161.01
11279,994.07,160.9
11300,994.06,161.02
11319,994.11,160.57
11339,994.1,160.63
11362,994.13,160.43
11379,994.11,160.57
11400,994.17,160.12
11421,994.15,160.28
11439,994.17,160.04
11460,994.18,159.97
11482,994.19,159.9
11502,994.2,159.84
11517,994.21,159.71
11542,994.22,159.66
11559,994.2,159.83
11578,994.22,159.64
11599,994.23,159.53
11622,994.27,159.19
11639,994.29,159.04
11658,994.26,159.29
11680,994.28,159.18
11698,994.27,159.21
11717,994.33,158.76
11737,994.33,158.74
11757,994.37,158.4
11777,994.35,158.54
11797,994.33,158.7
11820,994.38,158.34
11838,994.36,158.47
11859,994.39,158.23
11882,994.39,158.22
11899,994.43,157.88
11921,994.41,158.02
11938,994.49,157.39
11958,994.44,157.81
11977,994.48,157.47
11998,994.43,157.89
12018,994.45,157.73
12038,994.46,157.59
12057,994.45,157.7
12077,994.51,157.17
12099,994.47,157.57
12118,994.49,157.34
12139,994.53,157.05
12160,994.51,157.21
12181,994.57,156.72
12197,994.57,156.7
12221,994.58,156.64
12240,994.58,156.58
12257,994.6,156.41
12282,994.57,156.72
12302,994.61,156.37
12317,994.6,156.42
12338,994.63,156.17
12361,994.67,155.85
12381,994.64,156.14
12398,994.69,155.68
12418,994.66,155.93
12439,994.7,155.61
12459,994.64,156.14
12480,994.67,155.86
12499,994.7,155.64
12519,994.68,155.76
12541,994.74,155.3
12557,994.71,155.48
12578,994.73,155.34
12601,994.74,155.26
12622,994.73,155.35
12640,994.75,155.19
12660,994.77,155.03
12677,994.82,154.61
12699,994.81,154.65
12720,994.8,154.72
12738,994.81,154.68
12758,994.84,154.38
12779,994.78,154.94
12797,994.81,154.71
12818,994.83,154.46
12838,994.86,154.29
12858,994.87,154.15
12877,994.9,153.95
12902,994.88,154.03
12920,994.89,153.99
12941,994.93,153.64
12961,994.91,153.85
12979,994.93,153.69
12997,994.97,153.3
13020,994.96,153.4
13040,994.96,153.4
13061,994.92,153.73
13079,994.96,153.42
13097,995.01,153.01
13118,994.98,153.26
13139,995.03,152.81
13160,994.98,153.2
13180,995.03,152.84
13199,995.03,152.83
13222,995.01,153.0
13240,995.07,152.46
13258,995.08,152.37
13277,995.07,152.44
13297,995.05,152.65
13318,995.11,152.11
13337,995.15,151.79
13358,995.11,152.14
13378,995.1,152.24
13398,995.09,152.28
13422,995.14,151.89
13437,995.14,151.84
13460,995.12,152.03
13479,995.2,151.41
13502,995.17,151.58
13517,995.17,151.63
13539,995.17,151.59
13562,995.21,151.33
13582,995.2,151.35
13601,995.27,150.82
13618,995.23,151.08
13638,995.22,151.2
13661,995.26,150.85
13682,995.25,150.96
13700,995.25,150.96
13720,995.28,150.74
13738,995.27,150.76
13761,995.31,150.46
13778,995.3,150.53
13798,995.29,150.6
13819,995.31,150.44
13840,995.34,150.22
13858,995.33,150.29
13877,995.33,150.31
13900,995.4,149.72
13918,995.34,150.23
13940,995.38,149.87
13957,995.37,149.94
13979,995.36,149.99
14000,995.43,149.45
14017,995.42,149.5
14039,995.42,149.49
14057,995.44,149.33
14077,995.4,149.7
14102,995.46,149.14
14118,995.47,149.13
14141,995.46,149.17
14158,995.5,148.86
14181,995.49,148.91
14201,995.49,148.96
14220,995.51,148.77
14239,995.51,148.73
14259,995.53,148.58
14279,995.56,148.32
14302,995.53,148.56
14321,995.51,148.74
14342,995.56,148.35
14357,995.56,148.33
14381,995.56,148.32
14402,995.61,147.88
14418,995.56,148.36
14437,995.6,148.01
14461,995.58,148.17
14480,995.64,147.67
14502,995.59,148.05
14517,995.62,147.8
14541,995.64,147.66
14558,995.65,147.54
14577,995.67,147.37
14597,995.65,147.56
14621,995.69,147.27
14640,995.74,146.82
14660,995.73,146.89
14679,995.72,146.99
14702,995.72,146.99
14719,995.74,146.85
14741,995.72,146.99
14759,995.79,146.35
14779,995.76,146.65
14799,995.81,146.22
14818,995.76,146.61
14841,995.79,146.36
14860,995.79,146.38
14878,995.83,146.08
14902,995.79,146.37
14919,995.81,146.26
14940,995.82,146.1
14962,995.85,145.88
14980,995.84,145.94
14997,995.88,145.64
15022,995.86,145.82
15040,995.85,145.89
15059,995.87,145.72
15077,995.92,145.32
15101,995.9,145.42
15120,995.95,145.05
15140,995.92,145.31
15162,995.93,145.2
15181,995.99,144.7
15197,995.98,144.77
15218,995.97,144.84
15238,995.98,144.76
15261,996.01,144.51
15277,995.99,144.73
15300,996.0,144.62
15321,996.02,144.46
15342,996.04,144.27
15359,996.01,144.53
15381,996.01,144.55
15397,996.06,144.1
15422,996.07,143.98
15437,996.06,144.12
15459,996.09,143.88
15481,996.09,143.83
15497,996.08,143.93
15518,996.15,143.37
15541,996.09,143.86
15561,996.13,143.56
15580,996.14,143.39
15601,996.15,143.37
15620,996.16,143.31
15638,996.2,142.93
15659,996.14,143.43
15678,996.18,143.09
15702,996.18,143.07
15720,996.18,143.09
15739,996.23,142.66
15759,996.21,142.85
15782,996.24,142.63
15797,996.22,142.77
15820,996.29,142.14
15840,996.26,142.43
15860,996.28,142.26
15877,996.27,142.38
15902,996.28,142.29
15922,996.31,142.0
15940,996.32,141.92
15961,996.32,141.95
15982,996.34,141.72
16001,996.31,141.96
16017,996.35,141.68
16040,996.41,141.13
16060,996.37,141.51
16079,996.39,141.32
16101,996.41,141.12
16122,996.42,141.11
16142,996.4,141.28
16159,996.38,141.43
16177,996.41,141.17
16202,996.44,140.91
16222,996.43,141.02
16237,996.45,140.8
16262,996.47,140.66
16282,996.49,140.5
16300,996.51,140.32
16320,996.49,140.48
16339,996.49,140.51
16357,996.5,140.39
16379,996.52,140.25
16401,996.54,140.06
16417,996.51,140.28
16439,996.56,139.85
16459,996.53,140.15
16480,996.58,139.75
16502,996.58,139.7
16519,996.61,139.51
16539,996.59,139.6
16561,996.57,139.78
16579,996.59,139.63
16598,996.59,139.64
16619,996.61,139.47
16637,996.65,139.11
16658,996.65,139.17
16679,996.67,139.0
16699,996.63,139.3
16722,996.69,138.76
16739,996.66,139.07
16760,996.67,138.98
16780,996.66,139.07
16797,996.71,138.6
16820,996.7,138.71
16838,996.67,138.93
16862,996.75,138.31
16877,996.77,138.08
16899,996.79,137.94
16917,996.74,138.33
16942,996.81,137.76
16960,996.79,137.97
16980,996.78,138.03
16997,996.79,137.92
17021,996.8,137.87
17038,996.81,137.77
17062,996.8,137.86
17078,996.86,137.4
17098,996.86,137.37
17117,996.87,137.28
17139,996.85,137.48
17160,996.85,137.41
17177,996.87,137.26
17201,996.87,137.3
17219,996.93,136.8
17240,996.88,137.23
17259,996.89,137.13
17279,996.91,136.91
17300,996.9,137.02
17317,996.98,136.33
17338,996.97,136.45
17362,996.98,136.32
17382,996.96,136.5
17399,997.01,136.12
17418,996.98,136.37
17440,996.98,136.39
17459,997.0,136.19
17477,997.02,136.05
17497,997.05,135.74
17521,997.06,135.67
17540,997.02,135.97
17557,997.04,135.82
17578,997.07,135.59
17598,997.09,135.45
17621,997.13,135.07
17637,997.12,135.18
17657,997.06,135.63
17681,997.14,134.96
17698,997.12,135.16
17720,997.11,135.22
17738,997.17,134.74
17757,997.15,134.93
17778,997.14,134.98
17801,997.17,134.72
17822,997.12,135.16
17841,997.23,134.26
17859,997.18,134.68
17881,997.21,134.38
17898,997.2,134.48
17918,997.22,134.34
17942,997.25,134.03
17957,997.24,134.15
17977,997.29,133.69
17998,997.25,134.05
18017,997.27,133.92
18038,997.27,133.9
18060,997.27,133.89
18079,997.29,133.69
18102,997.31,133.56
18121,997.34,133.3
18139,997.35,133.26
18158,997.31,133.53
18179,997.32,133.49
18200,997.36,133.11
18218,997.37,133.09
18240,997.4,132.83
18259,997.36,133.13
18280,997.38,132.95
18299,997.36,133.11
18318,997.43,132.52
18342,997.43,132.52
18361,997.43,132.56
18377,997.43,132.57
18402,997.46,132.32
18419,997.48,132.13
18442,997.45,132.35
18461,997.47,132.25
18479,997.51,131.88
18497,997.47,132.22
18518,997.48,132.11
18540,997.52,131.83
18560,997.53,131.74
18578,997.52,131.76
18597,997.56,131.43
18622,997.56,131.49
18642,997.61,131.02
18660,997.56,131.5
18678,997.62,130.99
18698,997.56,131.46
18717,997.61,131.05
18742,997.62,130.98
18757,997.63,130.84
18780,997.64,130.81
18798,997.61,131.05
18820,997.7,130.26
18840,997.63,130.86
18861,997.66,130.6
18878,997.7,130.26
18897,997.71,130.21
18917,997.66,130.62
18942,997.73,130.06
18962,997.74,129.94
18980,997.7,130.28
19000,997.73,130.06
19020,997.76,129.75
19038,997.75,129.89
19062,997.78,129.57
19079,997.75,129.88
19099,997.76,129.8
19120,997.78,129.62
19137,997.79,129.52
19157,997.77,129.69
19181,997.82,129.28
19197,997.85,129.01
19220,997.83,129.21
19238,997.8,129.44
19259,997.88,128.8
19278,997.87,128.84
19299,997.86,128.9
19321,997.88,128.72
19338,997.91,128.49
19360,997.88,128.78
19379,997.86,128.92
19400,997.92,128.46
19422,997.95,128.17
19441,997.97,127.98
19458,997.94,128.24
19477,997.93,128.32
19498,997.96,128.12
19520,997.98,127.95
19537,998.0,127.78
19559,998.02,127.6
19580,997.99,127.87
19599,997.99,127.81
19621,998.06,127.28
19637,998.0,127.78
19657,998.03,127.52
19681,998.02,127.57
19699,998.09,127.01
19721,998.1,126.92
19739,998.08,127.07
19758,998.08,127.11
19781,998.06,127.25
19801,998.09,126.98
19821,998.12,126.73
19838,998.14,126.52
19860,998.11,126.85
19879,998.16,126.38
19897,998.12,126.77
19922,998.17,126.33
19937,998.13,126.61
19962,998.17,126.35
19979,998.19,126.14
19998,998.21,126.0
20020,998.21,125.94
20042,998.21,126.0
20061,998.22,125.86
20081,998.25,125.66
20100,998.25,125.66
20121,998.25,125.63
20142,998.31,125.15
20158,998.26,125.55
20179,998.3,125.21
20198,998.31,125.11
20222,998.34,124.92
20242,998.35,124.82
20257,998.34,124.84
20281,998.34,124.87
20302,998.29,125.26
20318,998.35,124.76
20340,998.35,124.8
20362,998.36,124.75
20377,998.37,124.65
20401,998.38,124.52
20418,998.41,124.25
20442,998.37,124.63
20462,998.37,124.62
20482,998.45,123.92
20499,998.45,123.97
20522,998.44,124.02
20542,998.47,123.82
20558,998.44,124.02
20581,998.48,123.71
20597,998.42,124.17
20620,998.46,123.9
20638,998.48,123.66
20657,998.48,123.73
20677,998.48,123.67
20701,998.53,123.28
20719,998.54,123.17
20741,998.53,123.24
20757,998.53,123.32
20778,998.55,123.11
20800,998.6,122.72
20821,998.59,122.78
20838,998.58,122.84
20860,998.59,122.76
20882,998.56,123.04
20900,998.64,122.37
20918,998.61,122.64
20937,998.59,122.75
20962,998.59,122.79
20977,998.65,122.25
21002,998.64,122.32
21020,998.65,122.27
21042,998.67,122.11
21061,998.68,121.99
21082,998.68,122.0
21099,998.75,121.41
21121,998.69,121.9
21139,998.71,121.73
21159,998.73,121.59
21180,998.69,121.92
21202,998.76,121.35
21222,998.76,121.32
21241,998.72,121.68
21259,998.79,121.1
21279,998.79,121.07
21301,998.79,121.06
21318,998.78,121.17
21337,998.8,120.99
21359,998.84,120.64
21378,998.84,120.7
21398,998.85,120.61
21418,998.84,120.63
21437,998.84,120.65
21457,998.85,120.57
21482,998.91,120.08
21499,998.86,120.52
21519,998.88,120.3
21541,998.87,120.42
21558,998.9,120.19
21582,998.89,120.21
21601,998.92,120.03
21617,998.9,120.12
21639,998.93,119.89
21662,998.96,119.69
21682,998.91,120.04
21699,998.95,119.73
21720,998.97,119.59
21738,999.02,119.19
21762,999.03,119.09
21778,999.0,119.32
21802,999.01,119.2
21820,999.04,118.99
21840,999.03,119.05
21860,999.01,119.24
21878,999.04,119.01
21898,999.09,118.6
21918,999.07,118.71
21938,999.1,118.51
21961,999.1,118.5
21979,999.11,118.43
21997,999.12,118.34
22022,999.14,118.11
22042,999.13,118.24
22062,999.15,118.08
22082,999.21,117.58
22098,999.11,118.42
22119,999.14,118.16
22141,999.18,117.81
22161,999.18,117.81
22177,999.21,117.53
22201,999.16,117.95
22218,999.17,117.93
22238,999.21,117.54
22260,999.2,117.61
22280,999.23,117.38
22300,999.27,117.03
22317,999.26,117.13
22342,999.26,117.14
22358,999.28,116.97
22377,999.28,116.94
22402,999.29,116.87
22422,999.3,116.79
22442,999.31,116.74
22461,999.34,116.46
22480,999.34,116.45
22500,999.36,116.28
22517,999.32,116.62
22539,999.4,115.98
22559,999.34,116.49
22578,999.34,116.46
22601,999.39,116.07
22619,999.44,115.58
22637,999.4,115.92
22658,999.41,115.89
22681,999.44,115.64
22697,999.43,115.66
22722,999.4,115.94
22739,999.43,115.71
22759,999.47,115.35
22780,999.5,115.15
22801,999.48,115.3
22819,999.48,115.25
22841,999.48,115.3
22860,999.51,115.04
22878,999.49,115.16
22902,999.48,115.32
22921,999.51,115.05
22940,999.53,114.82
22962,999.55,114.71
22982,999.56,114.6
23001,999.54,114.81
23022,999.58,114.4
23041,999.58,114.45
23061,999.59,114.38
23080,999.61,114.2
23101,999.64,113.97
23117,999.61,114.21
23142,999.63,114.05
23162,999.62,114.07
23177,999.65,113.83
23201,999.63,114.05
23217,999.68,113.61
23239,999.63,114.0
23261,999.72,113.29
23277,999.68,113.62
23301,999.69,113.53
23321,999.72,113.23
23340,999.71,113.38
23357,999.7,113.47
23378,999.78,112.75
23400,999.73,113.16
23422,999.81,112.54
23440,999.78,112.74
23458,999.73,113.14
23480,999.79,112.66
23500,999.81,112.48
23521,999.8,112.57
23537,999.76,112.92
23561,999.85,112.13
23580,999.85,112.19
23602,999.8,112.57
23619,999.8,112.57
23640,999.85,112.13
23662,999.89,111.85
23677,999.82,112.39
23702,999.85,112.2
23721,999.87,111.97
23737,999.91,111.64
23758,999.91,111.69
23781,999.92,111.59
23797,999.92,111.61
23820,999.9,111.73
23839,999.92,111.55
23860,999.97,111.12
23877,999.93,111.5
23902,999.96,111.21
23922,999.96,111.2
23942,999.96,111.26
23961,1000.02,110.73
23977,1000.01,110.86
24001,1000.03,110.68
24017,1000.06,110.43
24037,1000.02,110.7
24058,999.99,111.01
24079,1000.09,110.14
24101,1000.06,110.39
24121,1000.06,110.43
24139,1000.08,110.27
24158,1000.09,110.15
24182,1000.13,109.85
24199,1000.1,110.06
24219,1000.13,109.8
24237,1000.17,109.48
24261,1000.11,110.0
24281,1000.12,109.88
24298,1000.15,109.65
24317,1000.15,109.61
24341,1000.15,109.67
24360,1000.17,109.44
24378,1000.17,109.5
24402,1000.2,109.19
24417,1000.18,109.42
24439,1000.21,109.16
24462,1000.22,109.05
24479,1000.26,108.72
24500,1000.24,108.92
24519,1000.27,108.65
24538,1000.27,108.61
24562,1000.29,108.48
24579,1000.3,108.37
24602,1000.24,108.86
24618,1000.27,108.66
24638,1000.26,108.69
24657,1000.34,108.05
24680,1000.32,108.19
24699,1000.36,107.88
24722,1000.36,107.9
24739,1000.37,107.79
24762,1000.33,108.09
24778,1000.38,107.74
24802,1000.36,107.91
24821,1000.37,107.75
24841,1000.35,107.98
24862,1000.44,107.22
24881,1000.39,107.64
24900,1000.4,107.55
24917,1000.45,107.1
24937,1000.42,107.38
24962,1000.44,107.16
24980,1000.46,106.99
25001,1000.49,106.8
25019,1000.49,106.75
25037,1000.44,107.18
